Word,Category
استخدام,Cybercrime
اختراق,Cybercrime
هكر,Cybercrime
تهاكي,Cybercrime
يخترق,Cybercrime
سرفر,Cybercrime
تحكم,Cybercrime
تجسس,Cybercrime
فيروس,Cybercrime
فايرس,Cybercrime
تخطى,Cybercrime
ثغرات شائعة,Cybercrime
قرصنة,Cybercrime
برمجيات خبيثة,Cybercrime
الهندسة الاجتماعية,Cybercrime
تهديد,Hate Speech
تحريض,Hate Speech
عنصرية,Hate Speech
ترويج,Misinformation
شائعات,Misinformation
يهاكي,Cybercrime
تجاوز,Cybercrime
قواعد بيانات,Cybercrime
تطبيق,Cybercrime
نظام تشغيل,Cybercrime
هاكرز,Cybercrime
إسقاط مواقع,Cybercrime
هجمة DDoS,Cybercrime
القرصنة,Cybercrime
تفك تشفير,Cybercrime
مخدرات,Drug use & recklessness
سكران,Drug use & recklessness
ظلم,Hate Speech
كراهية,Hate Speech
تمييز,Hate Speech
تفوق,Hate Speech
تحرش,Hate Speech
سوء,Hate Speech
تخويف,Hate Speech
إهانة,Hate Speech
اغتصاب,Hate Speech
خيانة,Hate Speech
تلاعب نفسي,Hate Speech
فساد,Misinformation
إشاعة,Misinformation
كذب,Misinformation
خرافات,Misinformation
تضليل,Misinformation
أكاذيب,Misinformation
فبركة,Misinformation
موت,Violence
انتحار,Violence
إدمان,Violence
تسريب,Misinformation
عنف,Violence
العنصرية,Violence
سرقة,Theft
يسرق,Theft
احتيال,Theft
هوية,Theft
خداع,Theft
استغلال,Theft
الاحتيال,Theft
شخصية,Theft
اختراق حسابات,Theft
قنبلة,Violence
سلاح,Violence
أسلحة,Violence
مسدسات,Violence
مولوتوف,Violence
يقتل,Violence
تدمير,Violence
قصف,Violence
دمار,Violence
قتل,Violence
تفجير,Violence
حرق,Violence
إرهاب,Violence
حرب,Violence
تعذيب,Violence
سكين,Violence
جريمة,Violence
عقاب,Violence
دبح,Violence
هدم,Violence
قتلة,Violence
ضرب,Violence
يغتال,Violence
ملفات,Violence
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,